,0,1
42,"@benzbara_ @storialco kalau nggak salah, buat baca espresso, sy menghabiskan pulsa sekitar 50ribuan buat isi coin storial. diskon coin  sampe 50%. nggak terlalu berasa karena beli coinnya juga nyicil. jadi kantong tak sobek kok ",iladelfa
43,kamu bakalan dapat diskon 25% kalo beli tiket pake kartu btn https://t.co/tgrfuhaogr  #ecogreenpark,ecogreenpark
44,https://t.co/xvvp3ikdvy bekerja sama dengan korea tourism organization (kto) menggelar promosi diskon rp 1.000.000. https://t.co/i0gusxn61l,KompasTravel
45,#pragiwaksono amsterdam teramat menyenangkan. gue kembali dengan batik dari @batikplatform . jangan lupa belanja di website @batikplatform pake promo code pragiwaksono akan dapet diskon https://t.co/cmqyxulsdf,pandji
46,"kalau membandingkan dengan yaumul boleh, asal kamu salah mengenalku. seumuran itu harga dirinya gede. diskon anti katanya. dunia seluruhnya milik bersama, katanya.",rizky_alfian463
47,"hai millenials bogor, kami akan hadir di botani square mulai lusa s/d 11 november 2018. dapatkan harga tiket diskon spesial untuk kunjunganmu di libur akhir tahun  https://t.co/rk8be96tru #jungleland #duniaceria #junglelandteduh #2018goestojungleland https://t.co/87v91btq0s",JungleLand_Indo
48,halo adakah yg buka go prive shirt yg lg diskon 30% ini?? ongkirnya gila bgt w gk kuat kalo sendiri :(,sooisxing
49,"#sahabatkai, mulai 25 oktober 2018 pemesanan tiket via kai access, contact center 121 dan web https://t.co/sqedaro4oj, tidak dikenakan biaya pemesanan tiket dan diskon channel #ayonaikkereta https://t.co/odjtz4k0xk",KAI121
50,orang2 liat barang diskon 50% langsung diborong  aku liat barang diskon 50% ngitung dulu harganya jadi berapa setelah dipotong diskon eh tetep ngga kebeli,bayu_joo
51,@sendernim oh kirain lagi ada diskon,kkangdniel
52,diskon 30% lho... @ new taipei city https://t.co/gdcgvg3fvf,PrimadonnaINA
53,"@bayu_joo kalo harga 120.000 didiskon spt diatas = dapet diskon 84.000 = 36.000 didiskon lagi 30% = dapet diskon 10.800, jadi bayar 25.200  gitu bukan kak? hweee",nosa_saraswati
54,jual buku serba diskon: sejarah islam di tanah jawa https://t.co/h8kduiehqr,eswaachmad
55,pen &amp; paw menjual kaos-kaos branded dan murah2.. diskon 10% untuk all item!! buruan add 2256ea97 ##penandpaw,penandpaw
56,indocomtech 2018: cashback hingga diskon 90% https://t.co/9fncbqt9az @inilahdotcom,wbtvportal
57,"pukpuk ...beli di mimin aja kak, diskon khusnudzon https://t.co/ialisdumog",divapress01
58,indocomtech 2018: cashback hingga diskon 90% https://t.co/pi7hw6b6r2,ayobaca123
59,jual buku serba diskon: petuah-petuah leluhur jawa https://t.co/dyaobsvwbs,eswaachmad
60,hi #kangseekmiquiz hadir kembali yuk di jawab dan dapatkan voucher diskon yang bisa dipakai untuk cuci ac dari https://t.co/8b3cjruytm. yuk langsung jawab dengan format: nama (spasi) kota (spasi) jawaban  #seekmi #seekmiaja #kangseekmiquiz #kangseekmi #jabodetabek https://t.co/oumjgv9npv,SeekmiApp
61,"tunik marbella ukuran: tercantum di gambar, no accessories bahan: tercantum di gambarnya harga ecer: 110rb/pcs beli banyak dapat diskon reseller/dropship welcome  contact &amp; order: check https://t.co/wkouftu9v7",ria_indra
62,halo! temanmu baru mengirimkan rp7.500 di lazada. https://t.co/mrqabjljvs diskon besar besaran https://t.co/gxulurwzwd,Sanderia10
63,"nginap di hotel ini, peserta bpjs cuma bayar setengah!  banyak diskon lainnya juga ditawarkan pesonna hotel semarang. https://t.co/lyb189wmb6 https://t.co/lyb189wmb6",sumberita_id
64,"@peyekkeyep @infomalang belut prima cak wanto juga sip, apalagi kalo belinya pake ojol yg suka ngasi diskon mabelasrebu itu. ",MLG_backpacker
65,selamat buat mbk ami malinso  bulan lalu banyak dapat hadiah  . . . gratis parfum the one dari kak agung sagung indah absari group  lolos jam cantik juga  dan dpt diskon 50% untuk 1 produk bulan ini yeyy  go higher mb,Sumar_diamond
66,"@bayu_joo gue kalo liat diskon 50% atau 70% gak terlalu fokus, yang jadi fokus gue kalo liat diskon itu adalah harga awalnya berapa",Rp1899
67,"black friday, app store nya apple biasanya ada diskon gitu nga sih? @makemac",rann_dy
68,"bingung bgt ini &gt;&lt; beli di gmarket apa po olshop biasa (eg:https://t.co/w8h8qzzvuq) ? kalo beli di gmarket beli full apa album aja ya? gmarket (ada diskon) : album set + kihno + ems = 790k , album set + ems = 560k   bingung bgt &gt;&lt; siapapun tolong akuuu https://t.co/qxokieli6j",jinhwiyaa
69,udah dibuka yaa order bulan november  make up nya banyak yg diskon ,PujiiYanii
70,"@mffttaa hi, terkait diskon merchant silahkan kamu konfirmasikan ke pihak merchant langsung ya, untuk informasi kode diskon kredivo hanya dapat di lakukan pada transaksi pertama di kredivo ya. salam hangat :)",kredivo
71,juventus upayakan diskon harga juan mata dari manchester united - https://t.co/4o1uwcts8a https://t.co/efzjrj0klq,gilabolacom
72,"octosave dari @misteraladinid diperpanjang lho! kamu bisa nikmatin diskon s.d 15% (maks. rp1,2 juta) untuk semua hotel di mister aladin sampai dengan 04 november lho. tunggu apalagi? ayo, pesan sekarang juga! cek: https://t.co/nvang96wzt https://t.co/nta3qzmkep",MNCPlayID
73,"octosave dari @misteraladinid diperpanjang lho! kamu bisa nikmatin diskon s.d 15% (maks. rp1,2 juta) untuk semua hotel di mister aladin sampai dengan 04 november lho. tunggu apalagi? ayo, pesan sekarang juga! cek: https://t.co/tavtnjwmds https://t.co/czctlxurju",MNCupdate
74,beberapa toko di shopee bener sih dia diskon up to 90%. tapiiiii........harga aslinya ditinggin beberapa kali lipat. kan sama aja jadinya gak diskon hmm,rezkyintanr
75,lusa nonton gintama... btw wingstop belom keluarin diskon ultah yak,Yuki_0911
76,nawar harga barang jangan sadis sadis amat laaaaaaah~ #terbaru #esai https://t.co/u7ca80ylif,mojokdotco
