,0,1
39,@IndonesiaGaruda Sdh dcoba berulang2 malah pas bs pilih schedule poinnya gk diskon 70%...benar systemnya kah?,Nug_QA
40,"Cardholders, jangan lupa yah kalau mau beli tiket untuk traveling, ingat Qatar Airways karena dengan #mandiricard sedang ada diskon 10% loh. Yuk tunggu apalagi. https://t.co/mzV5FCcXNz #mandiripromo https://t.co/tTl4oUaO65",mandiricard
41,@kaesangp Minta rekumem mas.. Gmn bli spy dpet diskon..,untung_hr
42,"@benzbara_ @StorialCo Kalau nggak salah, buat baca Espresso, sy menghabiskan pulsa sekitar 50ribuan buat isi coin storial. Diskon coin  sampe 50%. Nggak terlalu berasa karena beli coinnya juga nyicil. Jadi kantong tak sobek kok ",iladelfa
43,Kamu bakalan dapat diskon 25% kalo beli tiket pake kartu BTN https://t.co/tgRFUhAOGR  #ecogreenpark,ecogreenpark
44,https://t.co/xVvp3iKDVy bekerja sama dengan Korea Tourism Organization (KTO) menggelar promosi diskon Rp 1.000.000. https://t.co/I0guSxn61l,KompasTravel
45,#Pragiwaksono Amsterdam teramat menyenangkan. Gue kembali dengan Batik dari @batikplatform . Jangan lupa belanja di website @batikplatform pake promo code PRAGIWAKSONO akan dapet diskon https://t.co/CMqyXULsdf,pandji
46,"Kalau membandingkan dengan Yaumul boleh, asal kamu salah mengenalku. Seumuran itu harga dirinya gede. Diskon anti katanya. Dunia seluruhnya milik bersama, katanya.",rizky_alfian463
47,"Hai Millenials Bogor, kami akan hadir di Botani Square mulai LUSA s/d 11 November 2018. Dapatkan HARGA TIKET DISKON SPESIAL untuk kunjunganmu di libur akhir tahun  https://t.co/RK8be96TRU #Jungleland #DuniaCeria #JunglelandTEDUH #2018GoesToJungleland https://t.co/87v91BTQ0S",JungleLand_Indo
48,Halo adakah yg buka go prive shirt yg lg diskon 30% ini?? Ongkirnya gila bgt w gk kuat kalo sendiri :(,sooisxing
49,"#SahabatKAI, mulai 25 Oktober 2018 pemesanan tiket via KAI Access, Contact Center 121 dan web https://t.co/sQEDaRO4Oj, tidak dikenakan biaya pemesanan tiket dan diskon channel #AyoNaikKereta https://t.co/odjTZ4k0xK",KAI121
50,orang2 liat barang diskon 50% langsung diborong  aku liat barang diskon 50% ngitung dulu harganya jadi berapa setelah dipotong diskon eh tetep ngga kebeli,bayu_joo
51,@sendernim Oh kirain lagi ada diskon,kkangdniel
52,diskon 30% lho... @ New Taipei City https://t.co/gDcGvg3FvF,PrimadonnaINA
53,"@bayu_joo kalo harga 120.000 didiskon spt diatas = dapet diskon 84.000 = 36.000 didiskon lagi 30% = dapet diskon 10.800, jadi bayar 25.200  gitu bukan kak? hweee",nosa_saraswati
54,Jual Buku Serba Diskon: SEJARAH ISLAM DI TANAH JAWA https://t.co/H8kdUiehQR,eswaachmad
55,Pen &amp; Paw menjual kaos-kaos branded dan murah2.. DISKON 10% untuk ALL ITEM!! buruan add 2256EA97 ##penandpaw,penandpaw
56,Indocomtech 2018: Cashback Hingga Diskon 90% https://t.co/9fnCBqT9az @inilahdotcom,wbtvportal
57,"Pukpuk ...beli di Mimin aja Kak, diskon khusnudzon https://t.co/iAlISduMog",divapress01
58,Indocomtech 2018: Cashback Hingga Diskon 90% https://t.co/PI7Hw6b6R2,ayobaca123
59,Jual Buku Serba Diskon: PETUAH-PETUAH LELUHUR JAWA https://t.co/DYAoBSvWbs,eswaachmad
60,Hi #kangseekmiquiz hadir kembali Yuk di jawab dan dapatkan voucher diskon yang bisa dipakai untuk CUCI AC dari https://t.co/8B3CJRuYtm. Yuk langsung jawab dengan format: Nama (spasi) Kota (spasi) Jawaban  #seekmi #seekmiaja #kangseekmiquiz #kangseekmi #jabodetabek https://t.co/OuMJGv9NPV,SeekmiApp
61,"Tunik Marbella Ukuran: tercantum di gambar, no accessories Bahan: tercantum di gambarnya Harga ecer: 110rb/pcs Beli banyak dapat diskon Reseller/Dropship welcome  Contact &amp; Order: check https://t.co/WKOuFtu9V7",ria_indra
62,Halo! Temanmu baru mengirimkan Rp7.500 di Lazada. https://t.co/MRQABJljvs diskon besar besaran https://t.co/gXULUrwzwd,Sanderia10
63,"Nginap di Hotel Ini, Peserta BPJS Cuma Bayar Setengah!  Banyak diskon lainnya juga ditawarkan Pesonna Hotel Semarang. https://t.co/LyB189WMB6 https://t.co/LyB189WMB6",sumberita_id
64,"@peyekkeyep @infomalang Belut Prima Cak Wanto juga sip, apalagi kalo belinya pake ojol yg suka ngasi diskon mabelasrebu itu. ",MLG_backpacker
65,Selamat Buat Mbk Ami Malinso  Bulan lalu banyak dapat hadiah  . . . Gratis Parfum The One dari Kak Agung Sagung Indah Absari Group  Lolos Jam Cantik Juga  Dan Dpt diskon 50% untuk 1 produk bulan ini yeyy  Go Higher mb,Sumar_diamond
66,"@bayu_joo Gue kalo liat diskon 50% atau 70% gak terlalu fokus, yang jadi fokus gue kalo liat diskon itu adalah harga awalnya berapa",Rp1899
67,"Black friday, app store nya apple biasanya ada diskon gitu nga sih? @makemac",rann_dy
68,"bingung bgt ini &gt;&lt; beli di gmarket apa po olshop biasa (eg:https://t.co/W8H8qZzvUQ) ? kalo beli di gmarket beli full apa album aja ya? gmarket (ada diskon) : album set + kihno + ems = 790k , album set + ems = 560k   bingung bgt &gt;&lt; siapapun tolong akuuu https://t.co/qxOkIElI6J",jinhwiyaa
69,Udah dibuka yaa order bulan November  Make up nya banyak yg diskon ,PujiiYanii
70,"@mffttaa Hi, terkait diskon merchant silahkan kamu konfirmasikan ke pihak merchant langsung ya, untuk informasi kode diskon Kredivo hanya dapat di lakukan pada transaksi pertama di Kredivo ya. Salam Hangat :)",kredivo
